Timestamp,Initials,Shot Distance (feet),# Out of 5,Group
2024-11-18 11:27:37,JNS,8,0,St. Thomas More Catholic Elementary School
2024-11-18 11:27:46,kt,6,3,St. Thomas More Catholic Elementary School
2024-11-18 11:27:46,IBP,10,1,St. Thomas More Catholic Elementary School
2024-11-18 11:27:58,SHINI001,10,4,St. Thomas More Catholic Elementary School
2024-11-18 11:28:06,LUCBEJ,8,0,St. Thomas More Catholic Elementary School
2024-11-18 11:28:07,acey,2,1,St. Thomas More Catholic Elementary School
2024-11-18 11:28:16,JHS,8,2,St. Thomas More Catholic Elementary School
2024-11-18 11:28:25,LUCBEJ,10,0,St. Thomas More Catholic Elementary School
2024-11-18 11:28:26,tk,8,2,St. Thomas More Catholic Elementary School
2024-11-18 11:28:38,acey,6,1,St. Thomas More Catholic Elementary School
2024-11-18 11:28:39,ZMM,8,0,St. Thomas More Catholic Elementary School
2024-11-18 11:28:50,LG,8,2,St. Thomas More Catholic Elementary School
2024-11-18 11:28:53,tk,10,2,St. Thomas More Catholic Elementary School
2024-11-18 11:29:09,acey,8,0,St. Thomas More Catholic Elementary School
2024-11-18 11:29:30,acey,10,0,St. Thomas More Catholic Elementary School
2024-11-18 11:29:36,fb7,8,2,St. Thomas More Catholic Elementary School
2024-11-18 11:29:42,AJP,8,1,St. Thomas More Catholic Elementary School
2024-11-18 11:29:45,EIMHB,10,2,St. Thomas More Catholic Elementary School
2024-11-18 11:29:51,MRS,10,1,St. Thomas More Catholic Elementary School
2024-11-18 11:29:59,as12,6,0,St. Thomas More Catholic Elementary School
2024-11-18 11:30:26,ad12,8,1,St. Thomas More Catholic Elementary School
2024-11-18 11:30:39,LEI,2,4,St. Thomas More Catholic Elementary School
2024-11-18 11:30:49,GHJ,8,1,St. Thomas More Catholic Elementary School
2024-11-18 11:31:05,LEI24,4,3,St. Thomas More Catholic Elementary School
2024-11-18 11:31:07,ZMM,6,0,St. Thomas More Catholic Elementary School
2024-11-18 11:31:08,JHS,10,4,St. Thomas More Catholic Elementary School
2024-11-18 11:31:14,acey,6,1,St. Thomas More Catholic Elementary School
2024-11-18 11:31:30,LEI24,6,2,St. Thomas More Catholic Elementary School
2024-11-18 11:31:36,LNC,2,2,St. Thomas More Catholic Elementary School
2024-11-18 11:31:52,VLU,8,3,St. Thomas More Catholic Elementary School
2024-11-18 11:32:07,LEI24,8,2,St. Thomas More Catholic Elementary School
2024-11-18 11:32:20,EIMHB,2,4,St. Thomas More Catholic Elementary School
2024-11-18 11:32:32,LEI24,10,0,St. Thomas More Catholic Elementary School
2024-11-18 11:32:54,JNS,10,2,St. Thomas More Catholic Elementary School
2024-11-18 11:33:02,fb1,10,0,St. Thomas More Catholic Elementary School
2024-11-18 11:33:22,MRS,10,3,St. Thomas More Catholic Elementary School
2024-11-18 11:33:53,ad12,10,0,St. Thomas More Catholic Elementary School
2024-11-18 11:33:59,Tj,10,0,St. Thomas More Catholic Elementary School
2024-11-18 11:34:53,LG,10,1,St. Thomas More Catholic Elementary School
2024-11-18 11:35:08,GHJ,10,2,St. Thomas More Catholic Elementary School
2024-11-18 11:35:56,KCAM,6,3,St. Thomas More Catholic Elementary School
2024-11-18 11:35:57,AJP,10,0,St. Thomas More Catholic Elementary School
2024-11-18 11:36:15,KCAM,8,4,St. Thomas More Catholic Elementary School
2024-11-18 11:37:26,VLU,10,4,St. Thomas More Catholic Elementary School
2024-11-18 11:37:32,IBP,2,4,St. Thomas More Catholic Elementary School
2024-11-18 11:37:32,ZMM,2,1,St. Thomas More Catholic Elementary School
2024-11-18 11:37:42,LNC,4,5,St. Thomas More Catholic Elementary School
2024-11-18 11:38:06,KCAM,10,1,St. Thomas More Catholic Elementary School
2024-11-18 11:39:41,IBP,4,2,St. Thomas More Catholic Elementary School
2024-11-18 11:40:13,IGN,8,3,St. Thomas More Catholic Elementary School
2024-11-18 11:40:54,fb7,2,0,St. Thomas More Catholic Elementary School
2024-11-18 11:49:13,WBE,4,5,St. Thomas More Catholic Elementary School
2024-11-19 09:22:55,PS,10,5,St. Thomas More Catholic Elementary School
2024-11-19 09:22:58,IBP,2,1,St. Thomas More Catholic Elementary School
2024-11-19 09:23:07,PS,10,5,St. Thomas More Catholic Elementary School
2024-11-19 09:23:43,EIMHB,2,4,St. Thomas More Catholic Elementary School
2024-11-19 09:24:07,JHS,2,0,St. Thomas More Catholic Elementary School
2024-11-19 09:24:48,fb7,2,1,St. Thomas More Catholic Elementary School
2024-11-19 09:25:00,IBP,4,5,St. Thomas More Catholic Elementary School
2024-11-19 09:25:30,ZMM,2,0,St. Thomas More Catholic Elementary School
2024-11-19 09:26:16,JNS,4,1,St. Thomas More Catholic Elementary School
2024-11-19 09:26:19,JHS,4,3,St. Thomas More Catholic Elementary School
2024-11-19 09:26:35,LNC,6,3,St. Thomas More Catholic Elementary School
2024-11-19 09:26:53,IGN,2,3,St. Thomas More Catholic Elementary School
