Name,POS,GP,G,A,PTS,+/-,PIM,TOI/G,PPG,PPA,S,S%,SHFT,GWG,FW,FL,FO%,SOA,SOG,SO%
Dawson Mercer,C,82,20,13,33,-26,29,17:13,4,1,134,14.9,1854,2,119,146,44.9,0,0,0.0
Tyson Foerster,RW,77,20,13,33,0,32,17:16,4,4,167,12.0,1682,2,1,2,33.3,5,1,20.0
Drew O'Connor,LW,79,16,17,33,14,20,15:44,0,0,160,10.0,1697,2,21,24,46.7,0,0,0.0
Owen Power,D,76,6,27,33,8,28,22:55,0,6,108,5.6,2071,1,0,0,0.0,3,1,33.3
Alex Pietrangelo,D,64,4,29,33,-5,24,23:33,0,9,141,2.8,1681,2,0,0,0.0,0,0,0.0
Jean-Gabriel Pageau,C,82,11,22,33,-8,13,15:54,1,1,101,10.9,1922,2,679,546,55.4,1,0,0.0
Andrew Copp,C,79,13,20,33,-2,26,16:16,1,2,109,11.9,1714,3,536,465,53.5,0,0,0.0
Yanni Gourde,C,80,11,22,33,-11,62,17:26,0,2,156,7.1,1740,1,519,566,47.8,1,1,100.0
Brandon Montour,D,66,8,25,33,1,46,23:26,1,16,168,4.8,1697,3,0,0,0.0,0,0,0.0
Darren Raddysh,D,82,6,27,33,-3,21,19:06,1,6,101,5.9,1890,2,0,0,0.0,0,0,0.0
Neal Pionk,D,82,5,28,33,9,63,20:49,1,7,146,3.4,2216,1,0,0,0.0,0,0,0.0
Ryan McDonagh,D,74,3,29,32,19,31,21:47,0,4,91,3.3,1918,1,0,0,0.0,0,0,0.0
Oliver Ekman-Larsson,D,80,9,23,32,10,76,18:23,1,10,123,7.3,1953,3,0,0,0.0,0,0,0.0
Jason Zucker,LW,69,14,18,32,-9,81,13:49,5,5,150,9.3,1250,0,13,20,39.4,0,0,0.0
Jordan Martinook,LW,82,14,18,32,-1,36,14:38,0,0,148,9.5,1673,1,48,47,50.5,2,1,50.0
Darnell Nurse,D,81,10,22,32,3,79,21:53,1,4,181,5.5,2028,2,0,0,0.0,0,0,0.0
Robby Fabbri,C,68,18,14,32,-13,32,12:52,5,7,97,18.6,1100,3,70,50,58.3,0,0,0.0
Ivan Provorov,D,82,5,27,32,-11,20,22:09,0,7,107,4.7,1969,0,0,0,0.0,0,0,0.0
