Name,POS,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO,DD2,TD3
Quincy Miller,F,10,11.9,2.9,0.9,3.8,23.7,0.3,1.8,16.7,0.8,1.1,72.7,2.0,0.8,0.7,0.5,0.5,0,0
Shayne Whittington,PF,20,5.4,2.9,1.0,2.1,45.2,0.1,0.3,16.7,0.9,1.2,78.3,1.5,0.3,0.3,0.1,0.3,0,0
Elliot Williams,SG,13,9.2,2.8,1.1,2.8,37.8,0.6,1.4,44.4,0.1,0.3,25.0,0.6,0.9,0.3,0.0,0.3,0,0
Bernard James,C,16,9.9,2.8,0.8,1.7,44.4,0.0,0.0,0.0,1.3,1.4,87.0,2.4,0.3,0.1,0.9,0.4,0,0
Jordan Hamilton,SG,14,8.7,2.7,1.0,2.5,40.0,0.7,1.5,47.6,0.0,0.0,0.0,1.1,0.5,0.1,0.0,0.3,0,0
Earl Clark,SF,10,9.3,2.7,1.1,3.0,36.7,0.4,1.4,28.6,0.1,0.4,25.0,2.3,0.3,0.3,0.4,0.6,0,0
Jeff Ayres,F,51,7.5,2.7,1.1,1.9,57.9,0.0,0.0,0.0,0.5,0.7,75.0,2.3,0.3,0.2,0.2,0.5,0,0
Elton Brand,PF,36,13.5,2.7,1.2,2.6,44.2,0.0,0.0,0.0,0.3,0.6,52.2,2.8,0.6,0.5,0.7,0.5,0,0
Joey Dorsey,PF,69,12.4,2.7,1.2,2.1,55.2,0.0,0.0,0.0,0.3,1.2,28.9,4.0,0.4,0.6,0.4,0.6,0,0
David Stockton,G,3,11.0,2.7,0.7,2.0,33.3,0.3,0.7,50.0,1.0,2.0,50.0,0.7,3.0,0.7,0.0,1.3,0,0
Joe Harris,SF,51,9.7,2.7,0.9,2.4,40.0,0.6,1.6,36.9,0.2,0.3,60.0,0.8,0.5,0.1,0.0,0.5,0,0
Clint Capela,C,12,7.5,2.7,1.2,2.4,48.3,0.0,0.0,0.0,0.3,1.9,17.4,3.0,0.2,0.1,0.8,0.4,0,0
E'Twaun Moore,G,56,9.0,2.7,1.1,2.5,44.6,0.2,0.7,34.2,0.2,0.4,60.0,0.8,0.6,0.4,0.1,0.3,0,0
Jorge Gutierrez,G,20,8.8,2.7,1.1,2.1,53.7,0.0,0.2,0.0,0.5,0.7,69.2,1.3,1.1,0.3,0.0,0.6,0,0
Jeff Withey,C,37,7.0,2.6,0.9,1.7,50.0,0.0,0.0,0.0,0.9,1.4,68.0,1.7,0.3,0.1,0.5,0.3,0,0
