Name,POS,GP,G,A,PTS,+/-,PIM,TOI/G,PPG,PPA,S,S%,SHFT,GWG,FW,FL,FO%,SOA,SOG,SO%
Cole Smith,RW,69,4,13,17,-3,60,12:44,0,0,64,6.3,1170,1,0,5,0.0,0,0,0.0
Nicolas Hague,D,81,3,14,17,7,51,18:05,0,0,103,2.9,1827,1,0,0,0.0,0,0,0.0
Mason Shaw,C,59,7,10,17,-1,79,11:17,0,0,92,7.6,869,0,15,13,53.6,0,0,0.0
Jordan Harris,D,65,4,13,17,-3,26,18:39,0,1,70,5.7,1378,0,0,0,0.0,0,0,0.0
Erik Cernak,D,70,2,14,16,8,53,19:14,0,0,87,2.3,1706,0,0,1,0.0,0,0,0.0
Ethan Bear,D,61,3,13,16,6,25,18:31,0,0,75,4.0,1503,1,0,0,0.0,0,0,0.0
Caleb Jones,D,73,4,12,16,-19,40,19:12,1,3,86,4.7,1658,1,0,0,0.0,0,0,0.0
Mason Appleton,C,41,5,11,16,2,8,16:01,1,0,71,7.0,872,0,2,8,20.0,0,0,0.0
Jesse Puljujarvi,RW,75,5,11,16,-13,32,12:13,0,0,125,4.0,1261,1,0,2,0.0,0,0,0.0
Boris Katchouk,LW,58,5,11,16,-10,27,12:05,0,0,68,7.4,927,2,3,12,20.0,0,0,0.0
Joshua Mahura,D,82,4,12,16,17,48,14:02,0,0,78,5.1,1574,1,1,0,100.0,0,0,0.0
Oliver Wahlstrom,RW,35,7,9,16,5,32,12:09,1,0,70,10.0,601,1,7,13,35.0,0,0,0.0
Nils Lundkvist,D,60,6,10,16,-5,26,16:18,1,2,94,6.4,1267,2,0,0,0.0,0,0,0.0
Jesse Ylonen,RW,37,6,10,16,-11,0,13:26,1,0,43,14.0,623,1,3,3,50.0,1,1,100.0
Martin Fehervary,D,67,6,10,16,-11,31,20:00,0,0,91,6.6,1666,1,0,0,0.0,0,0,0.0
Nils Aman,C,68,4,12,16,-12,18,12:42,0,0,50,8.0,1239,1,181,293,38.2,0,0,0.0
Nick Holden,D,65,2,14,16,0,10,16:42,0,0,73,2.7,1473,0,0,0,0.0,0,0,0.0
Dmitry Kulikov,D,67,3,13,16,-13,34,19:28,0,0,84,3.6,1568,0,0,0,0.0,0,0,0.0
Tyler Pitlick,C,61,7,9,16,-1,14,10:04,0,0,54,13.0,833,0,2,2,50.0,0,0,0.0
Craig Smith,C,64,9,7,16,5,18,10:59,0,1,104,8.7,999,2,2,7,22.2,0,0,0.0
Josh Leivo,LW,51,4,12,16,0,25,11:53,0,0,91,4.4,775,0,3,4,42.9,0,0,0.0
Jani Hakanpaa,D,82,6,10,16,18,60,19:19,0,0,86,7.0,1901,1,0,0,0.0,0,0,0.0
Teddy Blueger,C,63,4,12,16,-9,30,12:54,0,0,85,4.7,1147,1,299,276,52.0,0,0,0.0
Carson Soucy,D,78,3,13,16,18,68,16:17,0,0,87,3.4,1805,0,0,0,0.0,0,0,0.0
Jakub Vrana,LW,25,11,5,16,3,10,14:33,4,0,63,17.5,445,2,2,5,28.6,2,0,0.0
Robby Fabbri,C,28,7,9,16,-1,22,15:59,3,5,35,20.0,504,3,10,16,38.5,1,0,0.0
Brandon Carlo,D,75,3,13,16,44,38,18:49,0,0,94,3.2,1838,0,0,0,0.0,0,0,0.0
