Timestamp,First Name,Shot Distance (feet),Shot Made?
11/14/2023 9:02:52,Nico,10,FALSE
11/14/2023 9:03:16,R.M,10,FALSE
11/14/2023 9:03:21,Naya,2,TRUE
11/14/2023 9:03:28,R.M,10,FALSE
11/14/2023 9:03:37,R.M,2,TRUE
11/14/2023 9:03:46,R.M,10,FALSE
11/14/2023 9:03:57,R.M,10,FALSE
11/14/2023 9:23:26,mubarak ,10,FALSE
11/14/2023 9:23:38,josh,10,FALSE
11/14/2023 9:23:49,Hope,2,TRUE
11/14/2023 9:24:01,Hope,4,TRUE
11/14/2023 9:24:03,Dylan ,10,FALSE
11/14/2023 9:24:16,Hope,6,TRUE
11/14/2023 9:24:32,Hope,8,FALSE
11/14/2023 9:24:43,ben ,10,FALSE
11/14/2023 9:24:45,Hope,10,TRUE
11/14/2023 9:25:15,naya,2,TRUE
11/14/2023 9:25:24,naya,4,TRUE
11/14/2023 9:25:26,Marina C,6,FALSE
11/14/2023 9:25:34,naya,8,TRUE
11/14/2023 9:25:44,naya,10,FALSE
11/14/2023 9:25:46,Marina C,6,FALSE
11/14/2023 9:26:04,Naya,10,FALSE
11/14/2023 11:10:43,Jether,10,FALSE
11/14/2023 11:10:49,dylan,10,FALSE
11/14/2023 11:11:16,ben,10,FALSE
11/14/2023 11:11:27,Adrianna,6,TRUE
11/14/2023 11:11:36,Naya,8,TRUE
11/14/2023 11:11:55,m.o,10,FALSE
11/14/2023 11:12:40,dylan,10,FALSE
11/14/2023 11:13:34,ben ,8,FALSE
11/14/2023 11:15:17,Adrianna,6,TRUE
11/14/2023 11:15:23,Adrianna,2,TRUE
11/14/2023 11:15:29,dylan ,8,FALSE
11/14/2023 11:15:30,Sophia,10,TRUE
11/14/2023 11:15:40,josh ,8,FALSE
11/14/2023 11:15:53,Ava ,2,FALSE
11/14/2023 11:15:54,mubarak ,6,FALSE
11/14/2023 11:16:11,dylan ,6,FALSE
11/14/2023 11:59:31,Adrianna,10,TRUE
11/23/2023 8:39:05,mubarak ,8,FALSE
11/23/2023 8:39:15,Hope,8,FALSE
11/23/2023 8:39:28,mubarak,6,FALSE
11/23/2023 8:39:30,Hope,6,FALSE
11/23/2023 8:39:47,Hope,6,FALSE
11/23/2023 8:39:50,mubarak,4,TRUE
11/23/2023 8:40:03,Hope,4,FALSE
11/23/2023 8:40:12,mubarak ,2,TRUE
11/23/2023 8:40:13,Hope,2,FALSE
11/23/2023 8:40:15,Adrianna,6,TRUE
11/23/2023 8:40:41,naya,2,FALSE
11/23/2023 8:40:41,mubarak,8,FALSE
11/23/2023 8:40:46,Marjorie,2,TRUE
11/23/2023 8:40:48,Adrianna,2,TRUE
11/23/2023 8:40:51,naya,4,FALSE
11/23/2023 8:41:01,Marjoire,4,FALSE
11/23/2023 8:41:07,mubarak,6,FALSE
11/23/2023 8:41:10,Marina C,6,FALSE
11/23/2023 8:41:13,Marjoire,6,FALSE
11/23/2023 8:41:24,naya,8,FALSE
11/23/2023 8:41:26,Marina C,6,TRUE
11/23/2023 8:41:30,Marjorie,8,FALSE
11/23/2023 8:41:34,Adrianna,8,FALSE
11/23/2023 8:41:37,Marina C,6,TRUE
11/23/2023 8:41:50,Sophia,2,TRUE
11/23/2023 8:41:56,Marina C,6,TRUE
11/23/2023 8:42:04,Sophia,4,FALSE
11/23/2023 8:42:05,naya,2,TRUE
11/23/2023 8:42:07,Marina C,6,TRUE
11/23/2023 8:42:18,naya,2,TRUE
11/23/2023 8:42:18,Marina C,6,FALSE
11/23/2023 8:42:21,Sophia,6,TRUE
11/23/2023 8:42:33,Sophia,8,TRUE
11/23/2023 8:43:27,Adrianna,6,TRUE
11/23/2023 8:44:17,Marjorie,2,TRUE
11/23/2023 8:44:24,Adrianna,4,TRUE
11/23/2023 8:44:26,Marjorie,4,TRUE
11/23/2023 8:44:35,Marjorie,6,FALSE
11/23/2023 8:44:46,Marjorie,8,TRUE
11/23/2023 8:45:00,JE,2,TRUE
11/23/2023 8:45:15,JE,2,FALSE
11/23/2023 8:45:27,JE,4,TRUE
11/23/2023 8:45:41,JE,6,FALSE
11/23/2023 8:45:56,JE,6,FALSE
11/23/2023 8:45:57,naya,10,TRUE
11/23/2023 8:46:06,JE,6,FALSE
11/23/2023 8:46:21,JE,6,TRUE
11/23/2023 8:46:31,JE,8,TRUE
11/23/2023 8:46:42,JE,8,FALSE
11/23/2023 8:47:52,Ava,2,TRUE
11/23/2023 8:48:00,Ava,4,TRUE
11/23/2023 8:48:21,Ava,6,TRUE
11/23/2023 8:48:33,Ava,8,TRUE
11/23/2023 8:48:46,Ava,10,TRUE
11/23/2023 8:50:33,naya,6,TRUE
11/23/2023 8:54:42,ale,2,FALSE
11/23/2023 8:55:08,ale,2,TRUE
11/23/2023 8:55:23,ale,2,TRUE
11/23/2023 8:55:36,ale,2,TRUE
11/23/2023 8:55:46,ale,2,TRUE
11/23/2023 8:55:59,ale,2,FALSE
11/23/2023 8:56:15,ale,2,FALSE
11/23/2023 8:56:30,ale,4,FALSE
11/23/2023 8:56:42,ale,4,TRUE
11/23/2023 8:57:01,ale,4,TRUE
11/23/2023 8:57:20,ale,6,FALSE
11/23/2023 8:57:37,ale,6,TRUE
11/23/2023 8:57:50,ale,8,FALSE
11/23/2023 9:01:11,ale,8,TRUE
11/23/2023 13:40:30,ale,10,TRUE
11/27/2023 16:09:33,PB,8,FALSE
11/27/2023 16:09:45,PB,6,FALSE
11/28/2023 13:11:19,AA_Milne,2,FALSE
11/28/2023 13:11:28,AA_Milne,2,FALSE
11/28/2023 13:11:37,AA_Milne,2,FALSE
11/28/2023 13:11:45,AA_Milne,2,TRUE
11/28/2023 14:17:06,Emily,6,TRUE
11/28/2023 14:17:35,Renu,4,TRUE
11/28/2023 14:17:39,Monica,6,TRUE
11/28/2023 14:18:38,Chris ,10,TRUE
11/28/2023 14:18:57,Pablo,6,TRUE
11/28/2023 14:19:06,Matt,4,FALSE
11/28/2023 14:19:07,Nicole,2,FALSE
11/28/2023 14:19:17,Rowena,2,TRUE
11/28/2023 14:19:22,Lauren ,6,TRUE
11/28/2023 14:19:25,Joanne,2,TRUE
11/28/2023 14:19:25,Nicole,2,TRUE
11/28/2023 14:19:28,Emily,6,FALSE
11/28/2023 14:19:29,Matthew,4,FALSE
11/28/2023 14:19:32,Renu,6,FALSE
11/28/2023 14:19:33,Stacey,2,TRUE
11/28/2023 14:19:42,Tania,10,TRUE
11/28/2023 14:19:47,Stacey,6,TRUE
11/28/2023 14:19:48,Amy,4,TRUE
11/28/2023 14:20:02,Rowena,2,TRUE
11/28/2023 14:20:04,Julia D,6,TRUE
11/28/2023 14:20:30,TB,4,FALSE
11/28/2023 14:20:34,Carmen,2,FALSE
11/28/2023 14:20:35,Julia,4,FALSE
11/28/2023 14:20:36,Kvitka,4,FALSE
11/28/2023 14:20:48,J.Ho,4,TRUE
11/28/2023 14:20:53,Kvitka,4,TRUE
11/28/2023 14:24:23,Nico,4,FALSE
11/29/2023 10:59:50,L.J,2,TRUE
11/29/2023 10:59:55,A.S,2,TRUE
11/29/2023 11:00:02,MB,2,FALSE
11/29/2023 11:00:07,J.V,2,TRUE
11/29/2023 11:00:09,A.C.,2,TRUE
11/29/2023 11:00:13,S.C,2,TRUE
11/29/2023 11:00:17,PLH,2,TRUE
11/29/2023 11:00:18,A.A,2,FALSE
11/29/2023 11:00:37,E.b,10,FALSE
11/29/2023 11:00:40,UA,2,TRUE
11/29/2023 11:00:46,Raph,2,TRUE
11/29/2023 11:00:52,MB,10,FALSE
11/29/2023 11:00:56,A.S,4,TRUE
11/29/2023 11:00:59,Daniel,4,FALSE
11/29/2023 11:01:05,BBC,8,FALSE
11/29/2023 11:01:09,L.J,4,TRUE
11/29/2023 11:01:14,J.V,4,TRUE
11/29/2023 11:01:15,S.C,4,FALSE
11/29/2023 11:01:15,PLH,4,FALSE
11/29/2023 11:01:16,JLC,6,FALSE
11/29/2023 11:01:16,A.C.,4,FALSE
11/29/2023 11:01:18,Lily E.,2,TRUE
11/29/2023 11:01:20,Daniel,6,FALSE
11/29/2023 11:01:21,JA,2,TRUE
11/29/2023 11:01:23,CHB,2,TRUE
11/29/2023 11:01:26,PLH,6,TRUE
11/29/2023 11:01:28,A.A,4,FALSE
